scenario_number,pretty_scenario_names,percent_diff_relative_hump_risk_n,percent_diff_relative_blwh_risk_n,percent_diff_relative_dollars,percent_diff_relative_pounds,percent_diff_cbhump,percent_diff_cbblwh,pre_post
1,Delay Statewide,NA,NA,NA,NA,NA,NA,2009-2014
1,Delay Statewide,-36.92771585278211,-18.570586262194198,-0.25588379526648025,-0.3681802366667045,NaN,NaN,2014-2018
1,Delay Statewide,-121.19039602536755,-120.97145926680611,1.6725078070090762,1.319629156510857,NaN,NaN,2018-2019
12,Statewide 50% Effort Reduction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
12,Statewide 50% Effort Reduction Apr-Jul,66.68271429066596,58.77110979277589,-12.919027709990873,-13.056814938317947,88.06400495487483,83.66158609668426,2014-2018
12,Statewide 50% Effort Reduction Apr-Jul,-78.13096708449392,-80.24102424762238,18.690160515600667,17.238438736218058,-59.43342399937585,-42.203623025628325,2018-2019
14,Statewide <30 fathom Depth Restriction Apr-Jul,NA,NA,NA,NA,NA,NA,2009-2014
14,Statewide <30 fathom Depth Restriction Apr-Jul,8.509862734592355,89.29157680677335,0.0015787738903761607,0.0015132578435012216,-100,-100,2014-2018
14,Statewide <30 fathom Depth Restriction Apr-Jul,-45.91187919097934,-77.11830760930033,0,0,NaN,NaN,2018-2019
16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",NA,NA,NA,NA,NA,NA,2009-2014
16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",75.46716673799467,56.04540749015162,-12.918308251308034,-13.05613894778515,80.46045111813561,98.28878725425977,2014-2018
16,"Statewide 50% Effort Reduction, <30 fathom Depth Restriction Apr-Jul",-82.41786717976687,-82.74872344623351,18.690160515600667,17.238438736218058,-50.43782122636137,-37.167343323988824,2018-2019
3,Early Closure Statewide,NA,NA,NA,NA,NA,NA,2009-2014
3,Early Closure Statewide,78.01227749268942,71.1836354643173,-27.102000567757553,-26.854903329703088,81.02093036172626,68.12075047377282,2014-2018
3,Early Closure Statewide,-82.51331763533271,-84.13743127418576,46.83733875625201,42.14388830658466,-50.61349076079275,-28.690084931546387,2018-2019
6,"Delay Statewide, Early Closure Statewide",NA,NA,NA,NA,NA,NA,2009-2014
6,"Delay Statewide, Early Closure Statewide",18.90132132450326,21.161167822342236,-27.029928978723124,-26.86267076334763,118.09780588758446,99.20459252203663,2014-2018
6,"Delay Statewide, Early Closure Statewide",-60.159322610316366,-70.51387999733657,47.473019037071815,42.13041242102709,-57.25522893468105,-1.0883287022090373,2018-2019
sq,Status Quo,NA,NA,NA,NA,NaN,NaN,2009-2014
sq,Status Quo,NaN,NaN,0,0,NaN,NaN,2014-2018
sq,Status Quo,NaN,NaN,0,0,NaN,NaN,2018-2019
